13;Bleach;Non-Chlorine Bleach When Needed;Only a non-chlorine, color-safe bleach may be used in the laundering process. Chlorine bleach may not be used.;bleachNonChlorine;All (98+%) washable textiles are safe in some type of bleach. IF BLEACH IS NOT MENTIONED OR REPRESENTED BY A SYMBOL, ANY BLEACH MAY BE USED.
14;Bleach;Do Not Bleach;No bleach product may be used. The garment is not colorfast or structurally able to withstand any bleach.;bleachNot;All (98+%) washable textiles are safe in some type of bleach. IF BLEACH IS NOT MENTIONED OR REPRESENTED BY A SYMBOL, ANY BLEACH MAY BE USED.
15;Dry;Tumble Dry (Normal);A machine dryer may be regularly used at the hottest available temperature setting.;dryNormal;SYSTEM OF DOTS INDICATING TEMPERATURE RANGE IS THE SAME FOR ALL DRY PROCEDURES.
16;Dry;Tumble Dry (Normal, Low Heat);A machine dryer may be regularly used at a maximum of Low Heat setting.;dryLow;SYSTEM OF DOTS INDICATING TEMPERATURE RANGE IS THE SAME FOR ALL DRY PROCEDURES.
17;Dry;Tumble Dry (Normal, Medium Heat);A machine dryer may be regularly used at a maximum of Medium Heat setting.;dryMedium;SYSTEM OF DOTS INDICATING TEMPERATURE RANGE IS THE SAME FOR ALL DRY PROCEDURES.
18;Dry;Tumble Dry (Normal, High Heat);A machine dryer may be regularly used at a High Heat setting.;dryHigh;SYSTEM OF DOTS INDICATING TEMPERATURE RANGE IS THE SAME FOR ALL DRY PROCEDURES.
19;Dry;Tumble Dry (Normal, No Heat);A machine dryer may be regularly used only at No Heat or Air Only setting.;dryNo;SYSTEM OF DOTS INDICATING TEMPERATURE RANGE IS THE SAME FOR ALL DRY PROCEDURES.
20;Dry;Tumble Dry (Permanent Press);A machine dryer may be regularly used only at the Permanent Press setting.;dryPerman;.
21;Dry;Tumble Dry (Gentle);A machine dryer may be regularly used only at the Gentle setting.;dryGentle;.
22;Dry;Do Not Tumble Dry;A machine dryer may not be used. Usually accompanied by an alternate drying method symbol.;dryNotTumble;.
23;Dry;Do Not Dry;A machine dryer may not be used. Usually accompanied by an alternate drying method symbol.;dryNotDry;.
24;Dry;Line Dry;Hang damp garment from line or bar, in or out doors.;dryLine;.
25;Dry;Drip Dry;Hang dripping wet garment from line or bar, in or out doors, without hand shaping or smoothing.;dryDrip;.
26;Dry;Dry Flat;Lay out horizontally for drying.;dryFlat;.
27;Dry;Dry In Shade;Usually added to Line or Drip Dry. Dry away from direct sunlight.;dryShade;.
28;Wring;Do Not Wring;Do not Wring.;wringNo;.
29;Wring;Wring;Wring.;wring;.
30;Iron;Iron, Any Temperature, Steam or Dry;Regular ironing may be needed and may be performed at any available temperature with or without steam is acceptable.;ironAny;IF IRONING IS NOT A NECESSARY, REGULAR CARE PROCEDURE IT NEED NOT BE MENTIONED.
31;Iron;Iron (Low);Regular ironing, steam or dry, may be performed at Low setting (110C, 230F) only.;ironLow;IF IRONING IS NOT A NECESSARY, REGULAR CARE PROCEDURE IT NEED NOT BE MENTIONED.
32;Iron;Iron (Medium);Regular ironing, steam or dry, may be performed at Medium setting (150C, 300F).;ironMed;IF IRONING IS NOT A NECESSARY, REGULAR CARE PROCEDURE IT NEED NOT BE MENTIONED.
33;Iron;Iron (High);Regular ironing, steam or dry, may be performed at High setting (200C, 290F).;ironHig;IF IRONING IS NOT A NECESSARY, REGULAR CARE PROCEDURE IT NEED NOT BE MENTIONED.
34;Iron;Do Not Steam;Steam ironing will harm garment, but regular dry ironing at indicated temperature setting is acceptable.;ironNotSteam;SYSTEM OF DOTS INDICATING TEMPERATURE RANGE IS THE SAME FOR ALL IRONING PROCEDURES.
35;Iron;Do Not Iron;Item may not be smoothed or finished with an iron.;ironNotIron;SYSTEM OF DOTS INDICATING TEMPERATURE RANGE IS THE SAME FOR ALL IRONING PROCEDURES.
36;DryClean;Dryclean;Dry Clean, any solvent, any cycle any moisture, any heat.;dryClean;.
37;DryClean;Dryclean, Any Solvent;Dry Clean, any solvent. Usually used with other restrictions on proper dry cleaning procedure.;dryAny;.
38;DryClean;Dryclean, Petroleum Solvent Only;Dry Clean using only petroleum solvent. Usually used with other restrictions.;dryPetro;.
39;DryClean;Dryclean;"Any Solvent Except Trichloroethylene"",Any dry cleaning solvent other than trichloroethylene may be safely used.";dryNoTri;.
40;DryClean;Dryclean, Short Cycle;May be used with A, P, or F solvent restriction.;dryShort;.
41;DryClean;Dryclean, Reduced Moisture;May be used with A, P, or F solvent restriction.;dryRedu;.
42;DryClean;Dryclean, Low Heat;May be used with A, P, or F solvent restriction.;dryLowH;.
43;DryClean;Dryclean, No Steam;May be used with A, P, or F solvent restriction.;dryNoSteam;.
44;DryClean;Do Not Dryclean;Garment may not be commercially drycleaned.;dryNoD;.
